Name;Street Address;Location;Type;Reviews;No of Reviews;Contact Number;Trip_advisor Url;Menu;Price_Range;City
Pizzeria Credo;4520 California Ave SW;Seattle, WA 98116-4111; Italian, Pizza, Vegetarian Friendly;4.5;191 reviews;+1 206-402-3784;https://www.tripadvisor.com//Restaurant_Review-g60878-d4765938-Reviews-Pizzeria_Credo-Seattle_Washington.html;http://pizzeriacredo.com/#our-menu;$$ - $$$;Seattle
Cheeseboard Pizza;1504 Shattuck Ave;Berkeley, CA 94709-1517; Pizza, Vegetarian Friendly, Vegan Options;4.5;775 reviews;+1 510-549-3183;https://www.tripadvisor.com//Restaurant_Review-g32066-d371485-Reviews-Cheeseboard_Pizza-Berkeley_California.html;Check The Website for a Menu;$;Berkeley
Cortina's Italian Market & Pizzeria;2175 W Orange Ave;Anaheim, CA 92804-3556; Italian, Pizza, Deli;4.5;124 reviews;+1 714-535-1948;https://www.tripadvisor.com//Restaurant_Review-g29092-d1573946-Reviews-Cortina_s_Italian_Market_Pizzeria-Anaheim_California.html;Check The Website for a Menu;$$ - $$$;Anaheim
Havana Central;One Ridge Hill Blvd;Yonkers, NY 10710-7609; Caribbean, Latin, Spanish;3.5;198 reviews;+1 914-423-5500;https://www.tripadvisor.com//Restaurant_Review-g48922-d3176622-Reviews-Havana_Central-Yonkers_New_York.html;Check The Website for a Menu;$$ - $$$;Yonkers
Yard House;300 Santana Row;San Jose, CA 95128-2423; American, Bar, Pub;4;292 reviews;+1 408-241-9273;https://www.tripadvisor.com//Restaurant_Review-g33020-d2249171-Reviews-Yard_House-San_Jose_California.html;Check The Website for a Menu;$$ - $$$;San Jose
Siete Banderas;901 Iturbide St;Laredo, TX 78040-5859; Mexican;4.5;29 reviews;7960210;https://www.tripadvisor.com//Restaurant_Review-g56137-d9757063-Reviews-Siete_Banderas-Laredo_Texas.html;Check The Website for a Menu;$$ - $$$;Laredo
Jeanne D'Arc Restaurant;715 Bush St;San Francisco, CA 94108-3402; French, European, Vegetarian Friendly;4.5;683 reviews;+1 415-421-3154;https://www.tripadvisor.com//Restaurant_Review-g60713-d379131-Reviews-Jeanne_D_Arc_Restaurant-San_Francisco_California.html;Check The Website for a Menu;$$ - $$$;San Francisco
Luby's Cafeteria Mall Del Norte;5300 Ih 35;Laredo, TX;;4;27 reviews;Not Available;https://www.tripadvisor.com//Restaurant_Review-g56137-d2703689-Reviews-Luby_s_Cafeteria_Mall_Del_Norte-Laredo_Texas.html;http://www.lubys.com/menu;American;Laredo
Norma's Cafe;8300 Gaylord Pkwy;Frisco, TX 75034-8566; American, Cafe, Diner;4.5;214 reviews;+1 972-668-6673;https://www.tripadvisor.com//Restaurant_Review-g55870-d5105064-Reviews-Norma_s_Cafe-Frisco_Texas.html;http://www.normascafe.com/menu/;$$ - $$$;Frisco
Lonesome Dove Western Bistro;2406 N Main St;Fort Worth, TX 76164-8519; American, Southwestern, Vegetarian Friendly;4.5;513 reviews;+1 817-740-8810;https://www.tripadvisor.com//Restaurant_Review-g55857-d518186-Reviews-Lonesome_Dove_Western_Bistro-Fort_Worth_Texas.html;Check The Website for a Menu;$$$$;Fort Worth
KathaKali Indian Eatery;11451 98th Ave NE;Kirkland, WA 98033-4325; Indian, Asian, Vegetarian Friendly;4.5;44 reviews;+1 425-821-8188;https://www.tripadvisor.com//Restaurant_Review-g58541-d12448278-Reviews-KathaKali_Indian_Eatery-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
Mission Galleria;3700 Main St;Riverside, CA 92501-3317; Cafe;4.5;28 reviews;+1 951-276-8000;https://www.tripadvisor.com//Restaurant_Review-g32978-d5490104-Reviews-Mission_Galleria-Riverside_California.html;Check The Website for a Menu;$;Riverside
Bill's Cafe;1115 Willow St;San Jose, CA 95125-3158; American, Cafe, International;4.5;611 reviews;+1 408-294-1125;https://www.tripadvisor.com//Restaurant_Review-g33020-d491279-Reviews-Bill_s_Cafe-San_Jose_California.html;Check The Website for a Menu;$$ - $$$;San Jose
MASH'D;3401 Preston Rd Ste D1;Frisco, TX 75034-9007; American, Bar, International;4.5;307 reviews;+1 214-618-9440;https://www.tripadvisor.com//Restaurant_Review-g55870-d5534004-Reviews-MASH_D-Frisco_Texas.html;https://mashd.com/wp-content/uploads/2019/08/Davie_Brunch-Menu_08_08_19.pdf;$$ - $$$;Frisco
Eddie V's Wildfish;1370 Bison Ave;Newport Beach, CA 92660-9071; American, Seafood, Vegetarian Friendly;4.5;440 reviews;+1 949-720-9925;https://www.tripadvisor.com//Restaurant_Review-g32780-d1862747-Reviews-Eddie_V_s_Wildfish-Newport_Beach_California.html;Check The Website for a Menu;$$$$;Newport Beach
Buzzard Billy's;100 Interstate 35 N;Waco, TX 76704-2518; American, Bar, Seafood;3.5;660 reviews;+1 254-753-2778;https://www.tripadvisor.com//Restaurant_Review-g56833-d513217-Reviews-Buzzard_Billy_s-Waco_Texas.html;http://www.buzzardbillys.com/des-moines/menu/;$$ - $$$;Waco
Anthony's HomePort;135 Lake St S;Kirkland, WA 98033-6468; American, Seafood, Vegetarian Friendly;4;413 reviews;+1 425-822-0225;https://www.tripadvisor.com//Restaurant_Review-g58541-d463622-Reviews-Anthony_s_HomePort-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
Kwan Tip Thai;29426 Pacific Hwy S;Federal Way, WA 98003-3829; Asian, Thai, Vegetarian Friendly;4.5;28 reviews;+1 253-946-0333;https://www.tripadvisor.com//Restaurant_Review-g58471-d2394676-Reviews-Kwan_Tip_Thai-Federal_Way_Washington.html;Check The Website for a Menu;$$ - $$$;Federal Way
Longboard Restaurant & Pub;217 Main St;Huntington Beach, CA 92648-5127; American, Bar, Pub;4;135 reviews;+1 714-960-1896;https://www.tripadvisor.com//Restaurant_Review-g32513-d543721-Reviews-Longboard_Restaurant_Pub-Huntington_Beach_California.html;Check The Website for a Menu;$$ - $$$;Huntington Beach
Acropolis Pizza & Pasta;500 Central Way;Kirkland, WA 98033-6208; Greek, Italian, Pizza;4;74 reviews;+1 425-827-3777;https://www.tripadvisor.com//Restaurant_Review-g58541-d807218-Reviews-Acropolis_Pizza_Pasta-Kirkland_Washington.html;Check The Website for a Menu;$;Kirkland
Cedars at Pier One;355 Clover Island Dr;Kennewick, WA 99336-3678; American, Seafood, Bar;4;160 reviews;+1 509-582-2143;https://www.tripadvisor.com//Restaurant_Review-g58536-d1086046-Reviews-Cedars_at_Pier_One-Kennewick_Tri_Cities_Washington.html;Check The Website for a Menu;$$$$;Kennewick
Bisque Restaurant;2020 Long Beach Blvd;Ship Bottom, Long Beach Island, NJ 08008-4353; American, Seafood, Gluten Free Options;4.5;273 reviews;+1 609-361-2270;https://www.tripadvisor.com//Restaurant_Review-g46818-d829909-Reviews-Bisque_Restaurant-Ship_Bottom_Long_Beach_Island_New_Jersey.html;http://www.bisquelbi.com;$$$$;Ship Bottom
Rosco's Burger Inn;3829 Tompkins Rd;El Paso, TX 79930-6215; American, Diner;4.5;86 reviews;+1 915-564-9028;https://www.tripadvisor.com//Restaurant_Review-g60768-d1528424-Reviews-Rosco_s_Burger_Inn-El_Paso_Texas.html;Check The Website for a Menu;$;El Paso
The Capital Grille;155 E 42nd St;New York City, NY 10017-5608; American, Steakhouse, Vegetarian Friendly;4.5;932 reviews;+1 212-953-2000;https://www.tripadvisor.com//Restaurant_Review-g60763-d1018334-Reviews-The_Capital_Grille-New_York_City_New_York.html;Check The Website for a Menu;$$$$;New York City
Maxie's Supper Club and Oyster Bar;635 W State St;Ithaca, NY 14850-3347; American, Bar, Seafood;4;378 reviews;+1 607-272-4136;https://www.tripadvisor.com//Restaurant_Review-g47958-d475542-Reviews-Maxie_s_Supper_Club_and_Oyster_Bar-Ithaca_Finger_Lakes_New_York.html;https://www.maxiesithaca.com/menus/#food;$$ - $$$;Ithaca
The Cheesecake Factory;197 Riverside Sq Mall;Hackensack, NJ 07601-6310; American, Vegetarian Friendly, Vegan Options;4;217 reviews;+1 201-488-0330;https://www.tripadvisor.com//Restaurant_Review-g46480-d4102201-Reviews-The_Cheesecake_Factory-Hackensack_New_Jersey.html;https://order.thecheesecakefactory.com/menu/hackensack-nj;$$ - $$$;Hackensack
677 Prime;677 Broadway;Albany, NY 12207-2998; American, Steakhouse, Gluten Free Options;4.5;437 reviews;+1 518-427-7463;https://www.tripadvisor.com//Restaurant_Review-g29786-d829073-Reviews-677_Prime-Albany_New_York.html;Check The Website for a Menu;$$$$;Albany
Bareburger;7149 Austin St;Forest Hills, NY 11375-4728; American, Vegetarian Friendly, Vegan Options;4;138 reviews;+1 718-275-2273;https://www.tripadvisor.com//Restaurant_Review-g47732-d3316200-Reviews-Bareburger-Forest_Hills_Queens_New_York.html;Check The Website for a Menu;$$ - $$$;Forest Hills
Oto Sushi;11628 97th Ln NE;Kirkland, WA 98034-4269; Japanese, Sushi, Asian;4;51 reviews;+1 425-825-8899;https://www.tripadvisor.com//Restaurant_Review-g58541-d2481034-Reviews-Oto_Sushi-Kirkland_Washington.html;Check The Website for a Menu;$$ - $$$;Kirkland
Planet Thai;910 NE Tenney Rd;Vancouver, WA 98685-2837; Asian, Thai, Vegetarian Friendly;4.5;100 reviews;+1 360-828-5335;https://www.tripadvisor.com//Restaurant_Review-g60820-d2602217-Reviews-Planet_Thai-Vancouver_Washington.html;Check The Website for a Menu;$$ - $$$;Vancouver
Red Apple Cafe;488 W Herndon Ave;Fresno, CA 93650-1329; American, Cafe, Vegetarian Friendly;4.5;87 reviews;+1 559-261-1505;https://www.tripadvisor.com//Restaurant_Review-g32414-d9750769-Reviews-Red_Apple_Cafe-Fresno_California.html;Check The Website for a Menu;$$ - $$$;Fresno
Ayothaya Thai Restaurant;5604 176th St E;Puyallup, WA 98375-9306; Thai, Asian, Vegan Options;4.5;30 reviews;+1 253-271-6162;https://www.tripadvisor.com//Restaurant_Review-g58693-d8047813-Reviews-Ayothaya_Thai_Restaurant-Puyallup_Washington.html;Check The Website for a Menu;$$ - $$$;Puyallup
Mulvaney's Building & Loan;1215 19th St;Sacramento, CA 95811-4154; American, Vegetarian Friendly, Vegan Options;4.5;250 reviews;+1 916-441-6022;https://www.tripadvisor.com//Restaurant_Review-g32999-d602011-Reviews-Mulvaney_s_Building_Loan-Sacramento_California.html;Check The Website for a Menu;$$$$;Sacramento
Fat Pie Pizza;1015 Harris Ave;Bellingham, WA 98225-7034; Italian, American, Pizza;4.5;219 reviews;+1 360-366-8090;https://www.tripadvisor.com//Restaurant_Review-g58350-d5421902-Reviews-Fat_Pie_Pizza-Bellingham_Washington.html;http://www.fatpiepizza.com/menu;$$ - $$$;Bellingham
Jack Allen's Kitchen;3600 N Capital of Texas Hwy;Austin, TX 78746-3314; American, Southwestern, Bar;4.5;184 reviews;+1 512-351-9399;https://www.tripadvisor.com//Restaurant_Review-g30196-d7960315-Reviews-Jack_Allen_s_Kitchen-Austin_Texas.html;https://jackallenskitchen.com/menus;$$ - $$$;Austin
Rutabegorz;158 W Main St;Tustin, CA 92780; American, Vegetarian Friendly, Vegan Options;4.5;174 reviews;+1 714-731-9807;https://www.tripadvisor.com//Restaurant_Review-g33198-d680119-Reviews-Rutabegorz-Tustin_California.html;Check The Website for a Menu;$$ - $$$;Tustin
La Volpe;201 Brazos St. Bldg B;Austin, TX 78701; Italian, American, Seafood;4.5;11 reviews;+1 512-501-6713;https://www.tripadvisor.com//Restaurant_Review-g30196-d15196190-Reviews-La_Volpe-Austin_Texas.html;Check The Website for a Menu;$$ - $$$;Austin
Brother's Office Pizzeria;13221 E 32nd Ave;Spokane Valley, WA 99216-0138; Pizza, Vegetarian Friendly;4.5;58 reviews;+1 509-926-4433;https://www.tripadvisor.com//Restaurant_Review-g1784998-d7684552-Reviews-Brother_s_Office_Pizzeria-Spokane_Valley_Washington.html;Check The Website for a Menu;$$ - $$$;Spokane Valley
Gorkha Durbar;25250 Pacific Hwy S;Kent, WA 98032-6539; Asian, Indian, Tibetan;4.5;12 reviews;+1 206-592-6954;https://www.tripadvisor.com//Restaurant_Review-g58537-d12480637-Reviews-Gorkha_Durbar-Kent_Washington.html;http://www.gorkhadurbarseattle.com/menu;$$ - $$$;Kent
H3 Ranch;109 E Exchange Ave;Fort Worth, TX 76164-8211; American, Steakhouse, Southwestern;4.5;1,490 reviews;+1 817-624-1246;https://www.tripadvisor.com//Restaurant_Review-g55857-d464820-Reviews-H3_Ranch-Fort_Worth_Texas.html;Check The Website for a Menu;$$ - $$$;Fort Worth
Ajanta Distinctive Indian Cuisine;1888 Solano Ave;Berkeley, CA 94707-2309; Indian, Vegetarian Friendly, Vegan Options;4.5;162 reviews;+1 510-526-4373;https://www.tripadvisor.com//Restaurant_Review-g32066-d371490-Reviews-Ajanta_Distinctive_Indian_Cuisine-Berkeley_California.html;Check The Website for a Menu;$$ - $$$;Berkeley
Black Angus Steakhouse;3601 Rosedale Hwy;Bakersfield, CA 93308-6230; American, Steakhouse, Bar;4;401 reviews;+1 661-324-0814;https://www.tripadvisor.com//Restaurant_Review-g32037-d515008-Reviews-Black_Angus_Steakhouse-Bakersfield_California.html;Check The Website for a Menu;$$ - $$$;Bakersfield
Off Vine;6263 Leland Way;Los Angeles, CA 90028-8207; American, Contemporary, Vegetarian Friendly;4.5;301 reviews;+1 323-962-1900;https://www.tripadvisor.com//Restaurant_Review-g32655-d364726-Reviews-Off_Vine-Los_Angeles_California.html;Check The Website for a Menu;$$ - $$$;Los Angeles
Seasons 52;2000 Route 38;Cherry Hill, NJ 08002-2100; American, Wine Bar, Vegetarian Friendly;4.5;493 reviews;+1 856-665-1052;https://www.tripadvisor.com//Restaurant_Review-g46354-d1391520-Reviews-Seasons_52-Cherry_Hill_New_Jersey.html;Check The Website for a Menu;$$ - $$$;Cherry Hill
Esquina Latina;25 Liberty St;New Brunswick, NJ 08901-1210; Latin, Cuban, Caribbean;4;100 reviews;+1 732-543-1630;https://www.tripadvisor.com//Restaurant_Review-g46664-d8607884-Reviews-Esquina_Latina-New_Brunswick_New_Jersey.html;http://www.esquinalatinarestaurant.com/Happy-Hours-Menu.html;$$ - $$$;New Brunswick
